#Hit,Channel,DayTime,Energy,Duration,Amplitude,ASL,FRQC
2797,6,411.7843885,3,214,68,15,311
2798,6,411.783056,1,67,72,15,288
2799,6,411.7793748,5,12,82,15,24
2800,6,411.6835782,1,82,65,31,292
2801,6,411.6809008,5,77,80,31,275
2802,6,411.662028,7,819,75,32,347
2803,13,411.6035062,0,11,47,19,331
2804,16,411.1091798,3,287,45,21,347
2805,11,411.0760022,2,218,46,23,369
2806,6,410.5489685,0,2,52,15,636
2807,6,410.546367,7,558,76,15,286
2808,10,410.377789,9,491,56,26,225
2809,11,409.369626,0,50,46,23,370
2810,6,409.277114,0,0,48,15,689
2811,6,409.2751795,14,802,59,21,333
2812,11,408.805089,0,33,46,23,361
2813,11,408.6157975,2,179,47,23,355
2814,10,408.1030975,2,116,48,26,323
2815,6,408.042823,0,0,45,15,658
2816,6,408.042159,0,149,52,15,465
2817,6,408.0399715,5,232,71,15,288
2818,6,408.038857,5,0,45,15,61
2819,6,408.0380765,5,394,79,15,384
2820,20,407.5273835,0,5,46,19,410
2821,10,407.465157,0,32,46,27,315
2822,11,406.6585212,2,198,49,23,337
2823,12,406.6570428,0,5,45,25,361
2824,16,406.61676,0,0,45,21,470
2825,10,406.5756632,1,91,47,27,316
2826,6,406.552646,3,485,70,15,288
2827,6,406.5504755,0,6,64,21,349
2828,6,406.5494555,6,278,76,21,281
2829,16,406.5406098,0,0,45,21,481
2830,11,406.2618082,2,167,48,23,338
2831,6,405.6185685,0,32,61,15,341
2832,6,405.6169125,0,94,52,15,393
2833,6,405.5730085,2,93,65,15,350
2834,6,405.5711485,4,194,76,19,274
2835,6,405.2425902,3,91,64,26,389
2836,6,405.2387435,38,1182,79,26,255
2837,7,405.238175,20,602,47,19,398
2838,5,405.2381725,19,592,47,19,402
2839,1,405.238168,19,580,47,21,397
2840,4,405.2381575,19,573,47,21,410
2841,3,405.2381368,18,541,47,19,427
2842,2,405.2381232,17,37,47,19,408
2843,8,405.238114,16,511,47,19,429
2844,10,405.1896415,3,286,47,26,278
2845,13,404.8922368,0,0,45,21,359
2846,13,404.4932138,0,6,46,21,350
2847,6,403.7868562,4,391,68,15,458
2848,6,403.7858575,0,47,59,15,300
2849,6,403.1982405,0,5,54,15,594
2850,6,403.197208,3,233,72,15,316
2851,6,403.1957975,2,126,63,26,351
2852,10,403.1267095,0,0,45,26,401
2853,6,403.1144188,5,224,73,26,297
2854,20,402.854817,0,29,48,19,355
2855,6,402.7513298,4,160,69,28,307
2856,6,402.7499905,0,7,66,29,349
2857,6,402.3277002,1,209,54,26,402
2858,6,402.102889,1,111,56,15,342
2859,6,402.000311,1,105,60,15,323
2860,6,401.5763718,7,581,72,15,284
2861,16,401.5472842,0,33,47,21,504
2862,6,401.3859832,0,89,55,23,341
2863,6,401.3851475,0,6,61,23,413
2864,6,400.4703542,4,76,72,15,25
2865,6,400.4692908,3,12,77,15,274
2866,12,400.0830278,1,104,49,25,294
2867,6,400.061286,0,1,46,27,58
2868,6,399.9601935,6,458,70,15,304
